word,definition,example
educate,"To teach someone, especially in a school or college.",The school aims to educate children and prepare them for the future.
education,The process of learning or teaching knowledge and skills.,Her education at the university prepared her for a successful career.
educational,Providing knowledge or skill.,Visiting the museum was an educational experience.
educator,A person who teaches or trains others.,"My favorite educator in high school was my English teacher, Ms. Johnson."
effect,A result or consequence.,The medicine had a positive effect on her headache.
effective,Producing a desired or intended result.,This medicine is very effective at relieving my headache.
effectively,,
efficiency,"The ability to do something well with little waste of time, effort, or resources.","The new factory was designed for maximum efficiency, allowing them to produce more goods with fewer employees."
efficient,"Working well without wasting time, effort, or resources.",The new washing machine is very efficient; it uses less water and electricity.
effort,Exertion of physical or mental energy.,He put a lot of effort into finishing the project on time.
